5,0,0,0,796,796,796,13M16.14S
6,2,17843,1,870,836,812,13M44.362S
7,6,48806,8,945,841,780,13M58.468S
8,8,30034,9,962,858,803,13M48.438S
9,18,46210,13,981,888,885,14M5.847S
5,0,0,0,789,789,789,13M8.673S
6,2,14997,0,856,836,811,13M40.57S
7,7,37761,7,933,850,787,13M49.627S
8,3,25568,3,911,865,840,13M53.677S
9,20,38804,13,971,893,891,13M59.013S
5,0,0,0,811,811,811,13M30.519S
6,6,36581,1,990,828,747,13M51.486S
7,7,45808,8,938,853,824,14M10.836S
8,12,67346,3,967,837,744,14M0.592S
9,30,57549,13,957,875,868,14M16.122S
5,0,0,0,806,806,806,13M25.334S
6,2,7180,2,916,825,808,13M33.533S
7,5,23738,4,929,852,787,13M40.142S
8,5,26336,3,887,859,837,13M47.999S
9,17,35305,5,976,862,833,13M54.965S
9,21,24965,6,934,898,892,14M4.875S
8,9,34478,7,935,821,782,13M42.631S
7,7,24883,5,931,827,810,13M45.861S
6,6,34289,2,982,821,736,13M39.953S
5,0,0,0,816,816,816,13M35.954S
5,0,0,0,798,798,798,13M17.7S
6,2,4160,3,881,841,833,13M21.222S
7,4,11956,1,881,869,863,13M38.123S
8,3,9295,1,921,854,836,13M35.716S
9,11,26185,3,899,884,864,13M53.846S
5,0,0,0,810,810,810,13M29.771S
6,4,17005,2,879,845,836,13M31.374S
7,11,43189,6,966,862,793,13M46.409S
8,8,33699,4,923,865,830,13M48.554S
9,22,53624,10,1108,864,751,13M53.417S
5,0,0,0,798,798,798,13M17.908S
6,3,20114,1,879,842,827,13M54.083S
7,9,54832,7,1033,844,698,14M1.069S
8,8,45834,10,932,842,800,13M57.625S
9,30,59854,9,1035,860,760,14M12.691S
5,0,0,0,806,806,806,13M26.092S
6,3,14725,3,924,813,791,13M30.537S
7,4,20235,2,909,870,842,13M40.101S
8,6,24038,3,987,857,766,13M43.346S
9,24,38720,2,1006,929,909,13M52.251S
5,0,0,0,806,806,806,13M26.092S
6,3,14725,3,924,813,791,13M30.537S
7,4,20235,2,909,870,842,13M40.101S
8,6,24038,3,987,857,766,13M43.346S
9,24,38720,2,1006,929,909,13M52.251S
